"","wijk_id","wijk_district_and_neighborhood","wijk_municipality","wijk_type_region","wijk_code","wijk_change_in_layout","wijk_number_of_inhabitants","wijk_n_Sixty_Five_Years_Or_Older","wijk_WesternTotal","wijk_Non_Western_Total","wijk_Morocco","wijk_Turkey","wijk_Population_Density","wijk_Average_Home_Value","wijk_Average_Income_Per_Income_Recipient","wijk_Average_Income_Per_Inhabitant","wijk_40_Lowest_Income_People","wijk_20_Persons_With_Highest_Income","wijk_40_Lowest_Income_Households","wijk_20_House_holds_With_Highest_Income","wijk_low_income_households","wijk_House_hold_Under_Or_Around_Social_Minimum","wijk_code_six_digits"
"5182",5181,"WK194008","De Fryske Marren","Wijk","WK194008","1",65,10,5,0,0,0,"19",".",".",".",".",".",".",".",".",".","194008"
"5184",5183,"WK194009","De Fryske Marren","Wijk","WK194009","1",100,15,0,0,0,0,"16",".",".",".",".",".",".",".",".",".","194009"
"5186",5185,"WK194010","De Fryske Marren","Wijk","WK194010","1",235,40,15,5,0,0,"94","197","32","25.4","42.7","20.5",".",".",".",".","194010"
"5188",5187,"WK194011","De Fryske Marren","Wijk","WK194011","1",1035,190,30,15,0,0,"163","181","28","21.7","41.8","16.3","36.1","19.4","4.4","4.6","194011"
"5191",5190,"WK194012","De Fryske Marren","Wijk","WK194012","1",45,15,5,0,0,0,"16",".",".",".",".",".",".",".",".",".","194012"
"5193",5192,"WK194013","De Fryske Marren","Wijk","WK194013","1",345,55,20,5,0,0,"51","227","33.7","27.1","35","20.9","22.5","26.8","2.9","2.1","194013"
"5195",5194,"WK194014","De Fryske Marren","Wijk","WK194014","1",155,25,5,0,0,0,"22",".","30.7","23.3","41.2","14.9",".",".",".",".","194014"
"5197",5196,"WK194015","De Fryske Marren","Wijk","WK194015","1",250,80,15,0,0,0,"78","274","38.8","34","36.2","32.1","10.7","33.9","0","0.9","194015"
"5199",5198,"WK194016","De Fryske Marren","Wijk","WK194016","1",470,120,10,5,0,0,"27","277","30","24.8","35.6","20.1","19.8","36.3","2.8","2.8","194016"
"5201",5200,"WK194017","De Fryske Marren","Wijk","WK194017","1",565,70,15,0,0,0,"79","205","26.3","20.6","43.9","14.7","18.9","27.9","5.1","6.1","194017"
"5203",5202,"WK194018","De Fryske Marren","Wijk","WK194018","1",480,85,15,5,0,0,"219","175","26.7","20.4","42.9","14.3","33.7","15.6","5.6","5.1","194018"
"5205",5204,"WK194019","De Fryske Marren","Wijk","WK194019","1",13090,3135,575,540,5,20,"743","183","29.1","23.5","42.2","16","38.6","16.9","7.1","6.5","194019"
"5216",5215,"WK194020","De Fryske Marren","Wijk","WK194020","1",55,5,0,0,0,0,"16",".",".",".",".",".",".",".",".",".","194020"
"5218",5217,"WK194021","De Fryske Marren","Wijk","WK194021","1",1105,200,50,25,0,0,"220","200","31.2","24.9","41.9","19.6","31.8","20.4","4.8","5","194021"
"5220",5219,"WK194022","De Fryske Marren","Wijk","WK194022","1",40,10,0,0,0,0,"13",".",".",".",".",".",".",".",".",".","194022"
"5222",5221,"WK194023","De Fryske Marren","Wijk","WK194023","1",10225,2240,715,495,35,90,"532","191","29.7","23.8","44.6","17.5","39.6","17.7","8.2","8.3","194023"
"5231",5230,"WK194024","De Fryske Marren","Wijk","WK194024","1",130,30,5,5,0,0,"34",".","27.1","21.7","41.6","13.9",".",".",".",".","194024"
"5233",5232,"WK194025","De Fryske Marren","Wijk","WK194025","1",55,15,5,0,0,0,"131",".",".",".",".",".",".",".",".",".","194025"
"5235",5234,"WK194026","De Fryske Marren","Wijk","WK194026","1",555,100,5,5,0,0,"73","244","29.8","23.8","37.5","13.9","28","26.1","3.7","4.2","194026"
"5237",5236,"WK194027","De Fryske Marren","Wijk","WK194027","1",85,15,0,0,0,0,"26",".",".",".",".",".",".",".",".",".","194027"
"5239",5238,"WK194028","De Fryske Marren","Wijk","WK194028","1",915,130,60,25,0,0,"89","183","29","21.4","39.6","16.5","32.9","19.7","7.4","7.4","194028"
"5242",5241,"WK194029","De Fryske Marren","Wijk","WK194029","1",265,40,5,0,0,0,"46","195","30.1","23.4","37.1","18","28","28","1.9","1.9","194029"
"5244",5243,"WK194030","De Fryske Marren","Wijk","WK194030","1",1980,365,75,50,5,0,"266","223","31.2","24.7","39.6","19.9","24.2","25.3","4.2","4.6","194030"
"5246",5245,"WK194031","De Fryske Marren","Wijk","WK194031","1",1330,350,55,20,0,0,"98","215","29.4","23.4","40.5","16.6","34.6","18","5","5.5","194031"
"5248",5247,"WK194032","De Fryske Marren","Wijk","WK194032","1",355,55,5,5,0,0,"177","188","27.4","20.8","40.7","16","34.3","20","6.5","4.3","194032"
"5250",5249,"WK194033","De Fryske Marren","Wijk","WK194033","1",85,15,0,0,0,0,"42",".",".",".",".",".",".",".",".",".","194033"
"5252",5251,"WK194034","De Fryske Marren","Wijk","WK194034","1",170,35,5,5,0,0,"32","259","30.4","25.9","44.8","17.9",".",".",".",".","194034"
"5254",5253,"WK194035","De Fryske Marren","Wijk","WK194035","1",270,35,15,0,0,0,"69",".","22.5","18.5","53.5","7.9","54.7","14.5","12.7","12.7","194035"
"5256",5255,"WK194036","De Fryske Marren","Wijk","WK194036","1",185,40,5,5,0,0,"19","291","31.9","26","42","22",".",".",".",".","194036"
"5258",5257,"WK194037","De Fryske Marren","Wijk","WK194037","1",565,95,20,5,0,0,"64","225","27.4","22","44.4","14.7","28.5","23.1","3.7","3.7","194037"
"5260",5259,"WK194038","De Fryske Marren","Wijk","WK194038","1",675,120,20,5,0,0,"98","219","29.5","23.1","38.1","17.1","26","24.2","3.7","4.1","194038"
"5262",5261,"WK194039","De Fryske Marren","Wijk","WK194039","1",120,20,5,0,0,0,"28",".",".","30.7",".",".",".",".",".",".","194039"
"5264",5263,"WK194040","De Fryske Marren","Wijk","WK194040","1",830,120,30,25,0,0,"123","192","27.9","21.3","41.8","17.2","26.1","24.8","4.5","3.6","194040"
"5266",5265,"WK194041","De Fryske Marren","Wijk","WK194041","1",3330,710,160,55,0,0,"303","196","27.6","22","43.6","14","36.6","18.7","6.3","6.1","194041"
"5268",5267,"WK194042","De Fryske Marren","Wijk","WK194042","1",1280,195,30,15,0,0,"207","208","28.3","21.6","40.3","15.4","26","20.9","2.5","2.5","194042"
"5270",5269,"WK194043","De Fryske Marren","Wijk","WK194043","1",715,205,30,15,0,0,"256","194","30.4","24.8","41.9","18.4","33.4","19.5","6.9","6.5","194043"
"5272",5271,"WK194044","De Fryske Marren","Wijk","WK194044","1",65,20,5,0,0,0,"43",".",".",".",".",".",".",".",".",".","194044"
"5274",5273,"WK194045","De Fryske Marren","Wijk","WK194045","1",410,75,15,0,0,0,"44","242","30","22.9","35.2","16","24.1","29.1","4.5","4.5","194045"
"5276",5275,"WK194046","De Fryske Marren","Wijk","WK194046","1",780,195,35,15,0,0,"147","186","35.4","29.5","39.2","22.2","37","22","7.6","8.1","194046"
"5278",5277,"WK194047","De Fryske Marren","Wijk","WK194047","1",220,40,15,5,0,0,"67","250","31.5","24.9","37","17.9",".",".",".",".","194047"
"5280",5279,"WK194048","De Fryske Marren","Wijk","WK194048","1",30,10,0,0,0,0,"12",".",".",".",".",".",".",".",".",".","194048"
"5282",5281,"WK194049","De Fryske Marren","Wijk","WK194049","1",380,45,5,0,0,0,"23","231","27.3","21.8","40.9","14.8","23.8","31","3.2","3.2","194049"
"5284",5283,"WK194050","De Fryske Marren","Wijk","WK194050","1",390,75,10,0,0,0,"25","237","28.2","21.2","41.1","16.1","27.3","21.4","5.2","5.2","194050"
"5286",5285,"WK194051","De Fryske Marren","Wijk","WK194051","1",645,150,20,5,0,0,"69","233","29.3","24.2","40.9","15.4","28.8","24","3","2.7","194051"
"5289",5288,"WK077900","Geertruidenberg","Wijk","WK077900","1",12535,2560,710,460,15,45,"1391","210","32","25.7","38.3","20.6","33.2","22.4","4.8","4.5","077900"
"5294",5293,"WK077901","Geertruidenberg","Wijk","WK077901","1",2080,340,105,40,0,0,"161","260","33.2","26.7","37.2","21.8","26.3","28.6","3.7","2.5","077901"
"5297",5296,"WK077902","Geertruidenberg","Wijk","WK077902","1",6880,1340,485,240,20,30,"1467","186","30.8","24.9","36.8","18.5","35.3","17.5","4.9","4.9","077902"
"5304",5303,"WK023600","Geldermalsen","Wijk","WK023600","3",10530,2275,585,680,235,15,"896","249","33","25.7","39.1","22.3","32.4","24.8","5.7","5.2","023600"
"5315",5314,"WK023601","Geldermalsen","Wijk","WK023601","3",3885,750,190,65,10,10,"130","312","37.3","29.7","38.1","26.3","23.5","33.6","4.7","4","023601"
"5324",5323,"WK023602","Geldermalsen","Wijk","WK023602","3",4800,945,235,95,15,5,"141","281","34.2","27.8","36.9","23.1","27.5","31.4","3.3","3.2","023602"
"5332",5331,"WK023603","Geldermalsen","Wijk","WK023603","3",3195,570,130,110,35,0,"189","275","33","25.9","40.6","23.1","25.4","28.2","3.3","2.9","023603"
"5337",5336,"WK023604","Geldermalsen","Wijk","WK023604","3",4170,420,220,110,45,5,"589","280","36.4","27","33.3","27.3","19.4","34.7","2.3","2","023604"
"5343",5342,"WK177100","Geldrop-Mierlo","Wijk","WK177100","1",28840,5965,2795,2575,235,550,"2190","218","31.7","25.6","39","19.6","35.8","20.1","6.3","5.8","177100"
"5353",5352,"WK177101","Geldrop-Mierlo","Wijk","WK177101","1",10240,2275,780,405,20,10,"574","263","32.9","26.8","38.8","21.7","30.3","24.5","5.6","5.2","177101"
"5357",5356,"WK165200","Gemert-Bakel","Wijk","WK165200","1",16415,2965,1080,680,45,40,"827","226","29.8","23.7","41","17.2","36.5","19.9","6.2","5.6","165200"
"5366",5365,"WK165201","Gemert-Bakel","Wijk","WK165201","1",1830,385,135,25,0,0,"279","248","28","23.2","41.8","14.7","35","25.1","6","5.2","165201"
"5370",5369,"WK165202","Gemert-Bakel","Wijk","WK165202","1",1535,245,45,15,0,5,"117","294","31.5","25.7","37.7","19","23.1","33.4","3.9","3.5","165202"
"5374",5373,"WK165203","Gemert-Bakel","Wijk","WK165203","1",1085,160,140,10,0,0,"62","271","31.7","26","34.6","17.2","35","28","3.7","3.1","165203"
"5377",5376,"WK165204","Gemert-Bakel","Wijk","WK165204","1",5790,1110,590,115,10,10,"279","257","30","24.6","37.9","17","33.2","21.4","4.4","4.3","165204"
"5381",5380,"WK165205","Gemert-Bakel","Wijk","WK165205","1",2210,370,90,15,0,0,"116","265","30.7","25","39.8","17.1","27.7","27.1","4.1","4.8","165205"
"5385",5384,"WK165206","Gemert-Bakel","Wijk","WK165206","1",1175,190,60,25,5,5,"46","236","30.3","24.4","38","18.1","26.5","25.2","5.3","4.4","165206"
"5389",5388,"WK090700","Gennep","Wijk","WK090700","1",2770,685,215,45,0,0,"333","256","31.8","26.2","39.6","20.4","26.6","24.7","3.3","3.6","090700"
"5393",5392,"WK090701","Gennep","Wijk","WK090701","1",2115,410,195,50,5,10,"180","229","29.1","24.1","40.4","17","30.3","22.3","5.4","5","090701"
"5397",5396,"WK090702","Gennep","Wijk","WK090702","1",785,165,60,10,0,0,"120","263","28.9","24.2","38.9","15.4","27.2","21.7","4.4","4.7","090702"
"5400",5399,"WK090703","Gennep","Wijk","WK090703","1",9365,2005,995,570,200,60,"1384","192","28.4","23","40.2","15","38.5","16.4","6.4","6.5","090703"
"5406",5405,"WK090704","Gennep","Wijk","WK090704","1",2090,470,225,45,5,5,"146","237","29","23.9","39.4","17.8","32","19.6","4.7","4.7","090704"
"5411",5410,"WK068900","Giessenlanden","Wijk","WK068900","1",3245,635,80,85,5,5,"2142","269","33.1","25.5","40","22.7","24","29","3.2","3.3","068900"
"5415",5414,"WK068901","Giessenlanden","Wijk","WK068901","1",1135,235,40,15,0,0,"839","444","41.6","33.1","36.2","27.8","16.9","38.8","1.6","1.6","068901"
"5418",5417,"WK068902","Giessenlanden","Wijk","WK068902","1",270,50,10,0,0,0,"304","543","49.5","36.8","37.6","34.2",".",".",".",".","068902"
"5421",5420,"WK068903","Giessenlanden","Wijk","WK068903","1",230,30,5,10,0,0,"12",".","37.2","28.7","37.1","24.7",".",".",".",".","068903"
"5424",5423,"WK068904","Giessenlanden","Wijk","WK068904","1",3390,710,220,120,10,5,"440","220","31.9","25.8","40.2","19.6","34.7","21.7","4.2","4.9","068904"
"5428",5427,"WK068905","Giessenlanden","Wijk","WK068905","1",1435,280,50,35,0,0,"189","277","33.2","26.7","37.1","23.6","23","28.2","3.8","3.6","068905"
"5433",5432,"WK068906","Giessenlanden","Wijk","WK068906","1",1820,385,80,35,0,0,"338","273","34.7","26.4","39.1","24.9","24.8","29.2","3.6","3.7","068906"
"5438",5437,"WK068907","Giessenlanden","Wijk","WK068907","1",1790,295,50,5,0,0,"116","295","34.8","26.9","39.7","24.1","24.7","31.7","3.2","3.3","068907"
"5442",5441,"WK068908","Giessenlanden","Wijk","WK068908","1",1270,225,75,40,15,0,"365","273","38.8","30.2","36.9","25.4","23.8","29.5","3.8","3.2","068908"
"5445",5444,"WK078400","Gilze en Rijen","Wijk","WK078400","1",16770,3295,1425,1745,130,925,"868","216","30.8","24.7","39.2","18.9","33","21.7","5.7","5","078400"
"5449",5448,"WK078401","Gilze en Rijen","Wijk","WK078401","1",7885,1580,545,480,10,5,"335","248","30.4","25.3","40","18.4","35.1","23.5","5.1","4.6","078401"
"5453",5452,"WK078402","Gilze en Rijen","Wijk","WK078402","1",1245,300,60,5,0,0,"71","340","31.6","27","42.9","20.9","30.8","29.8","4.9","4.9","078402"
"5456",5455,"WK078403","Gilze en Rijen","Wijk","WK078403","1",315,45,15,0,0,0,"63","365","33.6","28.9","39.1","24.4","18.3","40","3.5","1.8","078403"
"5460",5459,"WK192400","Goeree-Overflakkee","Wijk","WK192400","1",2165,430,65,45,0,0,"130","259","40.4","32.1","37.6","28.2","25.1","30.3","2.8","3.1","192400"
"5464",5463,"WK192401","Goeree-Overflakkee","Wijk","WK192401","1",5835,1330,130,60,10,0,"180","311","34.2","26.8","42.2","24","27.3","29.4","2.8","3.1","192401"
"5474",5473,"WK192402","Goeree-Overflakkee","Wijk","WK192402","1",3475,740,140,110,0,10,"151","207","32","25.7","39.9","23.6","33.1","22.2","4.5","4.3","192402"
"5480",5479,"WK192403","Goeree-Overflakkee","Wijk","WK192403","1",7185,1490,295,175,5,5,"409","202","32.8","25.7","38.5","22.3","34.9","21.4","4.5","3.8","192403"
"5488",5487,"WK192404","Goeree-Overflakkee","Wijk","WK192404","1",2660,585,140,55,5,5,"114","172","31.6","24.9","40.2","19.9","36.5","17.7","4","3.7","192404"
"5492",5491,"WK192405","Goeree-Overflakkee","Wijk","WK192405","1",1685,310,60,40,0,0,"103","185","31.8","25.5","39.6","23.1","32.7","23","3.7","4","192405"
"5495",5494,"WK192406","Goeree-Overflakkee","Wijk","WK192406","1",4770,1110,225,100,0,5,"195","189","31.3","25.5","41","21.2","35.8","22.6","5.3","5.5","192406"
"5502",5501,"WK192407","Goeree-Overflakkee","Wijk","WK192407","1",5495,990,155,95,5,5,"191","205","32.7","25.4","38.9","23.2","30","25.4","4.3","4","192407"
"5508",5507,"WK192408","Goeree-Overflakkee","Wijk","WK192408","1",2160,375,100,50,0,5,"133","205","32.7","25.9","39","24.1","30","24.5","4.6","3.9","192408"
"5511",5510,"WK192409","Goeree-Overflakkee","Wijk","WK192409","1",1230,260,50,10,0,0,"128","184","30.2","24.1","41.6","20","36.8","19.6","6","5.4","192409"
"5515",5514,"WK192410","Goeree-Overflakkee","Wijk","WK192410","1",7235,1570,290,215,5,5,"382","197","32.3","25.6","38.8","21.6","36.1","22.1","5.5","5.2","192410"
"5522",5521,"WK192411","Goeree-Overflakkee","Wijk","WK192411","1",2370,470,75,40,0,5,"167","206","32.1","25.2","39.1","20.5","33.5","21.3","4.3","4.2","192411"
"5526",5525,"WK192412","Goeree-Overflakkee","Wijk","WK192412","1",1285,260,45,25,0,0,"130","190","33.7","26.7","36","24.1","32.7","21.8","3.9","3.4","192412"
"5529",5528,"WK192413","Goeree-Overflakkee","Wijk","WK192413","1",1120,230,50,40,0,5,"106","183","32.1","26","40.5","21.1","39.6","22.3","5.1","5.5","192413"
"5533",5532,"WK066401","Goes","Wijk","WK066401","1",27495,6490,2485,2495,260,195,"2308","194","30.4","25.2","40.5","17.7","43.3","16.2","8.1","6.8","066401"
"5545",5544,"WK066402","Goes","Wijk","WK066402","1",720,175,40,10,0,0,"69","257","31.5","26.3","40.4","22","24.3","29.7","2.7","1.3","066402"
"5548",5547,"WK066403","Goes","Wijk","WK066403","1",3410,670,205,105,10,0,"441","239","34.1","28.2","33.7","24.1","21.4","29","3.1","2.5","066403"
"5553",5552,"WK066404","Goes","Wijk","WK066404","1",530,100,45,15,0,0,"109","263","34.8","29.1","39.3","24.6","18.9","29.5","2.7","3.6","066404"
"5556",5555,"WK066405","Goes","Wijk","WK066405","1",1295,285,75,35,0,0,"103","215","33.1","26.7","33.6","21.5","30.1","24.2","4.4","3.7","066405"
"5560",5559,"WK066406","Goes","Wijk","WK066406","1",215,45,10,0,0,0,"381","215","28.8","23.4","34.9","17.1",".",".",".",".","066406"
"5562",5561,"WK066407","Goes","Wijk","WK066407","1",1305,270,50,15,0,0,"138","257","33.3","27.2","38.1","22.8","19.7","29.5","3.8","3.8","066407"
"5566",5565,"WK066408","Goes","Wijk","WK066408","1",1995,400,105,35,0,0,"58","201","30","24.4","38.8","18.2","35","20.2","5","4.7","066408"
"5569",5568,"WK066409","Goes","Wijk","WK066409","1",285,50,15,5,0,0,"1249","196","30.9","25.2","34.2","22.6","24.2","26.7","2.5","3.4","066409"
"5572",5571,"WK078501","Goirle","Wijk","WK078501","1",1235,380,65,40,0,15,"5387","213","29.6","26","38.3","16.9","44.1","17.3","6","4.7","078501"
"5574",5573,"WK078502","Goirle","Wijk","WK078502","1",1925,535,135,100,15,35,"4636","266","33.1","27","36.5","22.1","18.5","27.3","2.4","2.2","078502"
"5576",5575,"WK078503","Goirle","Wijk","WK078503","1",2085,350,115,70,0,10,"5118","264","35","27.7","35.1","24.5","25","27.7","4.8","4.5","078503"
"5579",5578,"WK078504","Goirle","Wijk","WK078504","1",1085,130,60,55,0,10,"4495","311","36.2","26.8","34.9","28.1","15.9","34.5","4.5","2.6","078504"
"5582",5581,"WK078505","Goirle","Wijk","WK078505","1",1325,335,115,55,0,20,"3758","217","30.6","26.1","40.2","16.2","42.3","16.7","9.9","8.1","078505"
"5584",5583,"WK078506","Goirle","Wijk","WK078506","1",2415,595,190,110,0,15,"4875","201","27.4","22.2","44.2","15.7","41.6","16.2","7.8","7.3","078506"
"5586",5585,"WK078507","Goirle","Wijk","WK078507","1",1600,330,90,55,10,5,"3608","292","35.8","28.4","36.1","26.2","23.6","33.2","3.1","2.8","078507"
"5589",5588,"WK078508","Goirle","Wijk","WK078508","1",1395,145,60,125,5,15,"1072","322","44.2","33.5","28.9","33.2","23.6","34.7","4.6","3.5","078508"
"5593",5592,"WK078509","Goirle","Wijk","WK078509","1",4335,675,315,150,20,15,"5226","234","34.8","27.1","31.8","24.3","21.2","25.5","3.5","2.6","078509"
"5599",5598,"WK078510","Goirle","Wijk","WK078510","1",715,100,45,40,5,25,"5624","284","36.9","29.4","32.6","30.2","19.9","39.1","2.2","1.8","078510"
"5601",5600,"WK078511","Goirle","Wijk","WK078511","1",2010,765,150,140,30,20,"5461","193","24.7","21","51.6","11.5","54.3","12.3","6.6","7","078511"
"5605",5604,"WK078512","Goirle","Wijk","WK078512","1",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".","078512"
"5607",5606,"WK078513","Goirle","Wijk","WK078513","1",215,30,10,5,0,0,"279","280","31.5","26.2","40.9","23.8",".",".",".",".","078513"
"5610",5609,"WK078514","Goirle","Wijk","WK078514","1",230,40,15,0,0,0,"12","439","32","26.9","43.4","25",".",".",".",".","078514"
"5612",5611,"WK078520","Goirle","Wijk","WK078520","1",2415,525,135,50,0,0,"1399","302","34.7","28.2","35.8","22.6","22.4","31.1","2.4","2.3","078520"
"5615",5614,"WK078521","Goirle","Wijk","WK078521","1",65,10,0,0,0,0,"776",".",".",".",".",".",".",".",".",".","078521"
"5617",5616,"WK078522","Goirle","Wijk","WK078522","1",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".","078522"
"5619",5618,"WK078523","Goirle","Wijk","WK078523","1",225,45,10,0,0,0,"16","426","32","25.3","42.2","22.2",".",".",".",".","078523"
"5622",5621,"WK194200","Gooise Meren","Wijk","WK194200","1",10455,1835,1390,1070,245,85,"7877","244","37.4","30.1","34.1","24.8","43","20.1","8.1","7.3","194200"
"5632",5631,"WK194201","Gooise Meren","Wijk","WK194201","1",3985,720,505,225,30,10,"3932","589","73","50.7","31.1","44.8","22.2","54.7","4.3","4.5","194201"
"5638",5637,"WK194202","Gooise Meren","Wijk","WK194202","1",13655,2900,1525,1405,455,175,"5678","256","37.3","28.9","35.6","25","37.5","24.3","7.2","6.7","194202"
"5649",5648,"WK194203","Gooise Meren","Wijk","WK194203","1",5125,1235,690,230,20,5,"1536","609","73.4","53.4","30.2","41.9","26.4","46.8","3.5","3.6","194203"
"5657",5656,"WK194204","Gooise Meren","Wijk","WK194204","1",6175,1420,690,390,50,30,"510","304","41","32.6","36","28.7","29.5","32","5.7","5.8","194204"
"5666",5665,"WK194205","Gooise Meren","Wijk","WK194205","1",17545,3875,2095,1375,360,45,"819","386","52.2","39.2","32.5","34.9","26.9","38.3","5.3","5.1","194205"
"5685",5684,"WK051201","Gorinchem","Wijk","WK051201","1",5495,1020,670,500,150,60,"6262","193","35.4","30.4","34.4","23.3","45.5","15.6","8.9","7.8","051201"
"5688",5687,"WK051202","Gorinchem","Wijk","WK051202","1",1885,320,135,75,5,15,"5032","222","34.8","28.2","32.9","24.6","20.4","29","1.9","2.2","051202"
"5690",5689,"WK051203","Gorinchem","Wijk","WK051203","1",2505,480,195,300,110,50,"4621","189","28.4","22.4","40.2","16.7","48.3","12.8","7.7","7","051203"
"5692",5691,"WK051204","Gorinchem","Wijk","WK051204","1",6455,1080,665,1885,785,690,"5803","185","28.4","21.9","45.7","15.8","43.7","16.2","10.8","9.5","051204"
"5695",5694,"WK051205","Gorinchem","Wijk","WK051205","1",2735,620,340,550,135,195,"3820","157","30.3","24.1","39.1","16.5","44","13","8.2","8.1","051205"
"5697",5696,"WK051206","Gorinchem","Wijk","WK051206","1",5410,1650,570,1630,370,595,"7315","135","23.5","19.6","49.1","7.1","66.9","4.2","13.2","12.2","051206"
"5699",5698,"WK051207","Gorinchem","Wijk","WK051207","1",145,40,10,5,0,0,"343","133","25.5","22","47.2","14.4",".",".",".",".","051207"
"5701",5700,"WK051208","Gorinchem","Wijk","WK051208","1",65,20,10,0,0,0,"119",".",".",".",".",".",".",".",".",".","051208"
"5703",5702,"WK051209","Gorinchem","Wijk","WK051209","1",25,5,0,0,0,0,"33",".",".",".",".",".",".",".",".",".","051209"
"5705",5704,"WK051210","Gorinchem","Wijk","WK051210","1",50,5,0,0,0,0,"55",".",".",".",".",".",".",".",".",".","051210"
"5707",5706,"WK051211","Gorinchem","Wijk","WK051211","1",8610,895,700,565,175,90,"5402","249","37","28.1","36","27.6","20.2","36.5","2.8","2.8","051211"
"5712",5711,"WK051212","Gorinchem","Wijk","WK051212","1",900,165,55,5,0,0,"877","271","37.5","29.6","34.7","25.8","19.4","33.3","0.9","0.9","051212"
"5714",5713,"WK051213","Gorinchem","Wijk","WK051213","1",1155,25,75,100,30,30,"1224","325","46.1","30","22.7","38.1","7.9","51.8","2.6","1.7","051213"
"5716",5715,"WK051214","Gorinchem","Wijk","WK051214","1",25,5,0,0,0,0,"18",".",".",".",".",".",".",".",".",".","051214"
"5720",5719,"WK051215","Gorinchem","Wijk","WK051215","1",55,10,5,5,0,0,"101",".",".",".",".",".",".",".",".",".","051215"
"5722",5721,"WK051216","Gorinchem","Wijk","WK051216","1",50,5,0,0,0,0,"71",".",".",".",".",".",".",".",".",".","051216"
"5724",5723,"WK051217","Gorinchem","Wijk","WK051217","1",20,5,0,0,0,0,"31",".",".",".",".",".",".",".",".",".","051217"
"5726",5725,"WK051218","Gorinchem","Wijk","WK051218","1",90,15,0,0,0,0,"59",".",".",".",".",".",".",".",".",".","051218"
"5728",5727,"WK051219","Gorinchem","Wijk","WK051219","1",10,5,0,0,0,0,"8",".",".",".",".",".",".",".",".",".","051219"
"5730",5729,"WK051220","Gorinchem","Wijk","WK051220","1",15,5,0,0,0,0,"13",".",".",".",".",".",".",".",".",".","051220"
"5732",5731,"WK051221","Gorinchem","Wijk","WK051221","1",10,0,0,0,0,0,"27",".",".",".",".",".",".",".",".",".","051221"
"5735",5734,"WK051301","Gouda","Wijk","WK051301","1",7755,1370,825,980,495,45,"5984","187","36.6","30.5","35.1","25.7","47.6","18.5","10.6","8.9","051301"
"5742",5741,"WK051302","Gouda","Wijk","WK051302","1",9675,1315,780,1985,1270,70,"5692","141","26.3","20.3","44.3","13.2","45.8","9.9","10.6","9.2","051302"
"5748",5747,"WK051303","Gouda","Wijk","WK051303","1",10095,2815,805,1100,645,50,"3410","193","34.8","28.8","36.6","22.4","38.6","19.6","4.3","4.4","051303"
"5755",5754,"WK051304","Gouda","Wijk","WK051304","1",12420,3000,1080,1555,910,30,"6607","195","32.6","25.9","38.2","23.1","35","22.6","6","6.1","051304"
"5764",5763,"WK051305","Gouda","Wijk","WK051305","1",9440,1540,695,1390,710,85,"4064","177","32.6","25.3","37.4","21.4","39","20.9","8.6","7.3","051305"
"5771",5770,"WK051306","Gouda","Wijk","WK051306","1",9825,1500,900,1890,1170,120,"7619","164","30.8","23.7","41.2","20.3","43.3","18.5","10.4","9.9","051306"
"5777",5776,"WK051307","Gouda","Wijk","WK051307","1",11570,1400,840,2550,1680,50,"7172","187","32.7","25","39","24.1","28.8","28.2","6.6","5.2","051307"
"5784",5783,"WK051308","Gouda","Wijk","WK051308","1",405,65,30,20,0,0,"482","326","46.7","38.2","34.8","26.7","27.8","31.6","6.1","3.9","051308"
"5787",5786,"WK051309","Gouda","Wijk","WK051309","1",545,15,255,65,35,0,"188","204","26.9","22.4","48.6","13.6","71","12.3","9.5","7","051309"
"5792",5791,"WK078600","Grave","Wijk","WK078600","1",8685,1815,830,400,25,20,"2995","176","30.1","24.5","37.5","17.9","34.5","17.3","5.5","5.1","078600"
"5800",5799,"WK078601","Grave","Wijk","WK078601","1",1110,220,45,5,0,0,"132","291","33.9","28.8","39.2","22","21.9","31.5","3.2","4.1","078601"
"5804",5803,"WK078602","Grave","Wijk","WK078602","1",1390,290,90,195,0,0,"150","307","31.2","25.7","43.2","21.5","29.4","29.6","4.3","3.6","078602"
"5810",5809,"WK078603","Grave","Wijk","WK078603","1",1175,230,30,5,0,0,"179","264","29.6","23.9","40","18.5","25.8","26.6","1.7","1.9","078603"
"5814",5813,"WK051801","'s-Gravenhage","Wijk","WK051801","1",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".","051801"
"5816",5815,"WK051802","'s-Gravenhage","Wijk","WK051802","1",8145,1640,1955,930,70,40,"7980","312","45.2","35.5","37.2","32.9","40.9","27.5","7.4","6.9","051802"
"5818",5817,"WK051803","'s-Gravenhage","Wijk","WK051803","1",1895,735,515,155,5,0,"1107","599","81.6","62.6","31.8","43.2","25.1","45","6.3","7.2","051803"
"5821",5820,"WK051804","'s-Gravenhage","Wijk","WK051804","1",13615,3600,3765,1550,30,45,"5072","403","67.6","50","23.5","50.3","21","43.5","4.2","3.9","051804"
"5828",5827,"WK051805","'s-Gravenhage","Wijk","WK051805","1",5925,1265,1725,700,20,30,"6818","407","73.8","57.7","28.6","41.2","35.3","32.9","6.6","7.1","051805"
